filename	sample	group	batch
180906_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_02.raw	QC_180906_2	1	1
180906_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_03.raw	QC_180906_3	1	1
180907_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_01.raw	QC_180907_1	1	1
180907_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_02.raw	QC_180907_2	1	1
180907_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_03.raw	QC_180907_3	1	1
181012_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_03.raw	QC_181012_3	2	1
181012_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_04.raw	QC_181012_4	2	1
181012_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_05.raw	QC_181012_5	2	1
181012_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_06.raw	QC_181012_6	2	1
181012_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_07.raw	QC_181012_7	2	1
181206_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_01.raw	QC_181206_1	3	2
181206_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_02.raw	QC_181206_2	3	2
181206_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_03.raw	QC_181206_3	3	2
181206_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_04.raw	QC_181206_4	3	2
190116_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_01.raw	QC_190116_1	4	3
190116_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_02.raw	QC_190116_2	4	3
190117_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_01.raw	QC_190117_1	4	3
190118_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_01.raw	QC_190118_1	4	3
190118_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_02.raw	QC_190118_2	4	3
190225_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_01.raw	QC_190225_1	5	3
190225_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_02.raw	QC_190225_2	5	3
190225_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_03.raw	QC_190225_3	5	3
190225_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_04.raw	QC_190225_4	5	3
190226_50ng_HeLa_30msIT_15k_2um_15cmcolumn_30min_CMS2_01.raw	QC_190226_1	5	3
